pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	2.8436651
7	NEUTRAL	3.9641967
8	NEUTRAL	2.8851557
10	ENTAILMENT	3.6452334
11	ENTAILMENT	3.9323843
13	CONTRADICTION	1.6756483
15	CONTRADICTION	2.1386905
16	NEUTRAL	1.9879929
17	NEUTRAL	2.256825
19	NEUTRAL	3.938437
20	CONTRADICTION	3.9395444
21	NEUTRAL	3.8389797
22	NEUTRAL	3.8272877
23	CONTRADICTION	3.8484724
27	CONTRADICTION	3.818854
29	NEUTRAL	3.552667
31	CONTRADICTION	3.6669683
32	NEUTRAL	3.9336367
33	ENTAILMENT	2.7271361
34	NEUTRAL	4.039194
36	NEUTRAL	2.3129501
37	NEUTRAL	3.195891
38	NEUTRAL	2.9392567
39	ENTAILMENT	3.761475
41	NEUTRAL	3.9092011
43	NEUTRAL	3.9737477
46	NEUTRAL	3.0178535
48	NEUTRAL	3.7328956
50	NEUTRAL	4.006842
51	NEUTRAL	3.601531
52	NEUTRAL	3.990881
53	NEUTRAL	3.7592487
54	NEUTRAL	3.9419484
57	NEUTRAL	3.9805212
59	NEUTRAL	3.8645988
60	NEUTRAL	3.735931
61	NEUTRAL	3.0607984
63	NEUTRAL	3.4762406
64	CONTRADICTION	2.34266
66	NEUTRAL	3.4920514
67	CONTRADICTION	3.6714802
68	NEUTRAL	3.003811
69	NEUTRAL	2.8551402
71	CONTRADICTION	3.0486758
74	NEUTRAL	3.960744
75	NEUTRAL	3.9559045
76	NEUTRAL	3.940434
80	NEUTRAL	2.5762815
86	NEUTRAL	2.3937278
89	NEUTRAL	3.7681289
92	NEUTRAL	2.7574859
95	ENTAILMENT	3.620724
96	CONTRADICTION	3.8135061
101	NEUTRAL	3.8235252
102	NEUTRAL	3.671469
103	NEUTRAL	2.8253894
104	NEUTRAL	3.7308502
106	NEUTRAL	2.8375015
108	ENTAILMENT	3.9636629
109	ENTAILMENT	1.8139466
110	NEUTRAL	3.9498897
111	ENTAILMENT	3.8118906
114	ENTAILMENT	3.985693
115	NEUTRAL	3.584276
118	NEUTRAL	3.847751
121	NEUTRAL	3.7216635
123	NEUTRAL	1.9395479
125	NEUTRAL	1.6189562
128	NEUTRAL	1.8491794
132	CONTRADICTION	3.8672047
134	NEUTRAL	3.2737184
135	CONTRADICTION	2.134446
137	NEUTRAL	1.9848965
138	NEUTRAL	3.0537624
142	ENTAILMENT	3.6231503
143	CONTRADICTION	3.6591663
144	NEUTRAL	2.6698723
145	NEUTRAL	2.564063
147	ENTAILMENT	2.40569
149	ENTAILMENT	3.8502645
151	ENTAILMENT	3.576038
152	CONTRADICTION	3.7487106
153	ENTAILMENT	3.659813
154	CONTRADICTION	3.9360332
155	ENTAILMENT	3.4893463
156	CONTRADICTION	3.264594
